brand,perfume,notes
guerlain,habit-rouge-l-instinct,green notes grapefruit bergamot cannabis mate red rose leather patchouli vanilla
tom-ford,neroli-portofino-parfum,neroli bergamot blood orange lemon tunisian neroli clary sage jasmine sambac pitosporum sylkolide musk amber
brocard,shahrazad-saherezada,orange bergamot tuberose magnolia amber vanilla musk
faberlic,oceanica,cucumber sea notes black currant leaf water lily violet cyclamen musk
mexx,life-is-now-for-him,cardamom bergamot pineapple apple sea notes lavender freesia sandalwood patchouli
acqua-di-stresa,osmanthus-fragrans,osmanthus pomegranate rose camellia jasmine hyacinth musk amber
pinrose,campfire-rebel,whiskey raspberry incense agarwood (oud) vetiver bourbon vanilla
max-philip,maroon,black currant bergamot iris rose jasmine patchouli caramel leather white musk
max-philip,pineapple,pineapple pineapple leaf coconut patchouli orange blossom vanilla sandalwood
avon,summer-white,aldehydes grapefruit freesia jasmine lily-of-the-valley orange orchid musk sandalwood
guerlain,xi-an,bamboo floral notes sandalwood
zoologist-perfumes,hyrax,saffron elemi pink pepper turkish rose hyrax whiskey styrax hyacinth castoreum civet amber benzoin patchouli sandalwood tonka bean
oriflame,puressence-by-ecobeauty,basil citruses orange orange blossom ylang-ylang jasmine bulgarian rose vetiver spicy notes heliotrope tonka bean vanilla
faberlic,sorbet-jolie,frosted berries green notes pear ice cream violet magnolia musk sandalwood ambrette (musk mallow) cedar
faberlic,citronica,bergamot grapefruit black currant blossom bergamot grapefruit blossom oakmoss patchouli musk sandalwood
lubin,magda,cherry blackcurrant syrup pomegranate mandarin orange tunisian orange blossom indian tuberose gardenia cinnamon amaretto vanilla sandalwood peru balsam
ulric-de-varens,varens-original-borneo-dream,watermelon ylang-ylang jasmine virginia cedar
rammstein,zwinger,animal notes animal notes animal notes
avon,pretty-glamorous,lemon bergamot peony sandalwood
clean,wellness-by-clean-harmony,italian lemon eucalyptus rosemary jasmine orange blossom rose cedar musk
xerjoff,amabile,green apple amalfi lemon calabrian bergamot orange blossom guatemalan cardamom pink pepper jasmine mexican vanilla atlas cedar white musk patchouli
bi-es,les-fashion-stiletto,almond bergamot rose iris cedar
faberlic,faberlic-by-valentin-yudashkin-rose,watery notes water lily lily-of-the-valley peony cyclamen pear musk
fragrance-du-bois,velvet-amber,geranium lemon cardamom bergamot leather cypriol oil or nagarmotha saffron rose cypriol oil or nagarmotha agarwood (oud) patchouli amber sandalwood musk vanilla
haute-fragrance-company-hfc,delicious-kisses,raspberry violet bulgarian rose papyrus iris sandalwood patchouli cedar ambrette (musk mallow) musk
lulu-castagnette,lulucastagnette,fig bergamot cotton candy rose jasmine magnolia vanilla sandalwood musk patchouli cedar
commodity,paper,iso e super amber sandalwood
juliette-has-a-gun,lili-fantasy,bubble gum tuberose jasmine ambroxan amber
zoologist-perfumes,dodo,fern litchi lime raspberry ambergris balsam fir geranium rose oakmoss musk sandalwood patchouli amber
brocard,water-ivy,watery notes bergamot peach ivy jasmine bellflower peony white musk moss
khaikin,collapse-of-hedonism-krakh-gedonizma,cognac smoke metallic notes dark chocolate leather rose smoke dried plum immortelle vetiver texas cedar ambergris ash
puma,jamaica-2-woman,pink grapefruit melon peach violet leaf jasmine freesia plum patchouli musk vanilla
ladanika,moscow-waltz-moskovskij-val-s,raspberry violet freesia damask rose rose hip lilac white musk iris patchouli
euphorium-brooklyn,ume,plum plum blossom green tea apricot anise oakmoss yuzu hinoki wood incense cedar snow earthy notes
el-nabil,musk-makkah,strawberry raspberry almond cinnamon vanilla musk amber
